 time[yr],type[tp/pl],particle no.,x[AU],y[AU],z[AU],vx[AU/year],vy[AU/year],vz[AU/year],a,e,inc[degrees]
         0.0000, pl,     2,    0.000598278,   -0.001076253,    0.000000000,  155.568377415,   90.248904949,    0.000000000,    0.001242434,    0.020372229,    0.000000000
         0.0000, tp,     1,    0.000238423,    0.000791870,   -0.000000083, -185.079214426,   93.057658640,   -0.032147698,    0.000751090,    0.199208081,    0.009856483
         0.0000, tp,     2,    0.000409187,   -0.000444159,   -0.000000020,  206.993145340,  189.039569440,   -0.033165709,    0.000756872,    0.202138603,    0.007023992
         0.0000, tp,     3,   -0.000309084,   -0.000640041,   -0.000000055,  235.248803549,  -62.326627893,   -0.020479299,    0.000761241,    0.200596884,    0.007273703
         0.0000, tp,     4,    0.000823538,    0.000219028,   -0.000000057,  -19.065023864,  201.810256461,    0.020407309,    0.000765630,    0.199124321,    0.007555906
         0.0000, tp,     5,    0.000543906,    0.000655607,    0.000000091, -132.337233713,  154.718519831,    0.008863089,    0.000770502,    0.199176148,    0.006316278
         0.0000, tp,     6,   -0.000626408,    0.000068382,    0.000000102,  -49.726689663, -268.277135382,    0.007288881,    0.000776259,    0.201958507,    0.009349540
         0.0000, tp,     7,    0.000817065,   -0.000453306,   -0.000000015,   86.611781842,  162.441993359,   -0.019969741,    0.000780019,    0.198577881,    0.006296793
         0.0000, tp,     8,    0.000925925,   -0.000158461,   -0.000000082,   26.157977956,  181.846861273,    0.017430072,    0.000784875,    0.198584139,    0.007279039
         0.0000, tp,     9,   -0.000103133,    0.000646908,    0.000000015, -256.373805448,  -69.850702893,   -0.011821399,    0.000790773,    0.201749653,    0.002741624
         0.0000, tp,    10,    0.000163689,    0.000933449,   -0.000000066, -178.858195126,   40.505522462,   -0.018632790,    0.000794592,    0.198609322,    0.006903912
         0.0000, tp,    11,   -0.000812352,    0.000487644,   -0.000000050,  -83.003640153, -164.508123918,   -0.014662556,    0.000799462,    0.198655128,    0.005654940
         0.0000, tp,    12,   -0.000646634,    0.000422641,    0.000000029, -161.596449566, -164.459961774,   -0.032248597,    0.000804883,    0.200349435,    0.008862399
         0.0000, tp,    13,   -0.000361463,    0.000581665,    0.000000086, -199.445052776, -163.664735267,    0.016796650,    0.000810146,    0.201545686,    0.008600658
         0.0000, tp,    14,   -0.000046317,   -0.000825229,    0.000000045,  209.810953417,  -55.084604510,    0.005815793,    0.000814435,    0.199867591,    0.003250520
         0.0000, tp,    15,    0.000591067,    0.000770656,   -0.000000019, -136.122678967,  120.650911533,   -0.018900963,    0.000818878,    0.198649660,    0.005996114
         0.0000, tp,    16,    0.000773448,    0.000541095,    0.000000152,  -86.150170117,  168.237180617,    0.009333790,    0.000823819,    0.198903948,    0.009337759
         0.0000, tp,    17,    0.000701207,   -0.000702783,   -0.000000008,  127.993641963,  124.508716858,   -0.024992782,    0.000828561,    0.198576182,    0.008027234
         0.0000, tp,    18,   -0.000565488,    0.000359603,    0.000000005, -132.148938797, -230.341511006,    0.006112056,    0.000834633,    0.202072695,    0.001410643
         0.0000, tp,    19,   -0.000750929,    0.000333668,   -0.000000040, -128.404002130, -180.375694997,   -0.017217048,    0.000838825,    0.200169772,    0.004848266
         0.0000, tp,    20,    0.000413381,   -0.000797216,    0.000000117,  194.413542223,   57.621108690,   -0.013581476,    0.000843438,    0.199473366,    0.009166683
         0.0000, tp,    21,    0.000859099,   -0.000532758,   -0.000000104,  101.255293344,  145.941854163,   -0.021823737,    0.000847991,    0.198612884,    0.008942149
         0.0000, tp,    22,   -0.000860733,    0.000409513,   -0.000000116, -109.007276567, -157.070456651,    0.002935107,    0.000853015,    0.199093968,    0.007262943
         0.0000, tp,    23,    0.000841333,    0.000096399,    0.000000076,   18.874915927,  216.520833016,   -0.019345754,    0.000858232,    0.200107083,    0.008121024
